id,subcategory,type_of_question,category,difficulty_score,difficulty_band,pyq_frequency_score,concept_difficulty,operations_required,problem_structure,solution_method,core_concepts,answer_match,concept_extraction_status,quality_verified,created_at
5755281e-49db-4df4-aa74-8edc298cb846,Averages and Alligation,Basic Averages,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic Division"", ""Understanding of Units""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to perform simple division and unit conversion""]}","[""Division""]",Single-step calculation,Divide the total weight capacity by the weight of one apple to find the number of apples.,"[""Division"", ""Unit Conversion"", ""Weight Calculation""]",True,completed,True,2025-09-11 18:00:12.463521
4f1f0fd8-ea60-448e-813e-caa5dedab17c,Ratios and Proportions,Simple Rations,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Understanding of basic subtraction""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to perform simple arithmetic operations""]}","[""Subtraction""]",Simple linear arithmetic,Direct subtraction,"[""Subtraction"", ""Distance Calculation""]",True,completed,True,2025-09-11 18:00:22.800578
8a370c05-ff18-450f-85f8-2f173ab813a8,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic arithmetic operations""], ""cognitive_barriers"": [""Understanding of units and conversion""], ""mastery_indicators"": [""Ability to apply the distance-speed-time formula correctly""]}","[""Division""]",Single-step calculation,Direct calculation using the formula: Time = Distance / Speed,"[""Distance"", ""Speed"", ""Time""]",True,completed,True,2025-09-11 18:00:15.909043
106bcb83-ed74-4f58-9fa2-c5145689cc1c,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic arithmetic operations""], ""cognitive_barriers"": [""Understanding of units""], ""mastery_indicators"": [""Ability to apply formula correctly""]}","[""Division""]",Single-step calculation,Direct application of the distance-speed-time formula,"[""Distance"", ""Speed"", ""Time""]",True,completed,True,2025-09-11 18:00:11.315602
36b9cc67-688f-47a9-8819-6d24366751ea,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic multiplication"", ""Understanding of units""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to apply formula correctly""]}","[""Multiplication""]",Single-step calculation,Direct application of the distance formula,"[""Distance"", ""Speed"", ""Time""]",True,completed,True,2025-09-11 18:01:38.472716
d015be78-209d-4815-8110-558e39f779ec,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic arithmetic operations"", ""Understanding of speed, distance, and time relationship""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to apply the formula correctly""]}","[""Division""]",Single-step calculation,Direct application of the formula for time calculation,"[""Distance"", ""Speed"", ""Time""]",True,completed,True,2025-09-11 18:01:31.601991
8ed64383-9a83-4af3-852d-72909c5732e1,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic division"", ""Understanding of units""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to calculate speed from distance and time""]}","[""Division""]",Simple linear relationship,Direct Calculation,"[""Distance"", ""Time"", ""Speed""]",True,completed,True,2025-09-11 18:01:49.895029
9e96c3f1-0970-4b2e-aaee-004124b94202,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic multiplication"", ""Understanding of units""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to apply the distance formula""]}","[""Multiplication""]","Linear relationship between distance, rate, and time",Direct multiplication of rate and time,"[""Distance"", ""Rate"", ""Time""]",True,completed,True,2025-09-11 18:00:19.353832
32259ac6-7265-49d0-badb-19293eb8afe1,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic multiplication"", ""Understanding of rate""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to apply rate-time-distance formula""]}","[""Multiplication""]",Simple linear relationship,Direct multiplication of rate and time,"[""Rate"", ""Time"", ""Distance""]",True,completed,True,2025-09-11 18:00:29.689960
1408ac59-679f-4dd3-8850-9e4c8a00a46c,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic arithmetic"", ""Understanding of units""], ""cognitive_barriers"": [""Unit conversion from minutes to hours""], ""mastery_indicators"": [""Correct application of formula"", ""Accurate unit conversion""]}","[""Multiplication"", ""Unit conversion""]",Simple linear relationship,Direct application of the distance formula,"[""Distance-Speed-Time relationship"", ""Unit conversion""]",True,completed,True,2025-09-11 18:01:48.744976
