id,stem,answer,solution_approach,detailed_solution,category,subcategory,difficulty_score,difficulty_band,frequency_band,frequency_notes,learning_impact,learning_impact_band,importance_index,importance_band,video_url,tags,source,version,is_active,created_at
589dde42-883c-4e6a-9681-02aaf5a1110f,A chord of length 8 cm is drawn in a circle of radius 5 cm. Find the distance of the chord from the center.,3 cm,Standard approach,Detailed solution pending,Circles,Circles,2.22,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.5,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:38:01.914773
44fadb62-ace7-4a72-9a96-579a9569366d,"In a right triangle, one angle is 30°. If the hypotenuse is 10 cm, find the length of the side opposite to 30°.",5 cm,Standard approach,Detailed solution pending,Triangles,Triangles,2.45,Medium,Medium,Appears in 4-7 of last 10 years,45.5,Medium,53.62,Medium,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:37:53.733653
acd1eda7-6886-4a19-9ec1-8e0a2864e884,Find the domain of f(x) = 1/(x-2).,R - {2},Standard approach,Detailed solution pending,Functions & Graphs,Functions & Graphs,2.22,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.5,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:37:45.078077
dc4f7137-07ee-4573-b905-c16eca2e6902,"In an AP, if the first term is 5 and common difference is 3, what is the 10th term?",32,Standard approach,Detailed solution pending,Progressions,Time–Speed–Distance (TSD),1.88,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,37.62,Low,https://youtube.com/watch?v=tsd_basics,,Diagnostic,1,True,2025-08-11T08:37:34.645499
976826e6-dd54-416c-adc9-1a10420c132a,"If |x - 3| = 5, find all possible values of x.",8 or -2,Standard approach,Detailed solution pending,Inequalities,Time–Speed–Distance (TSD),1.8,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,37.25,Low,https://youtube.com/watch?v=tsd_basics,,Diagnostic,1,True,2025-08-11T08:37:22.086396
7f49f76d-1425-4a38-b127-4f16d774ebbd,Find the value of x if x² - 5x + 6 = 0.,2 or 3,Standard approach,Detailed solution pending,Quadratic Equations,Quadratic Equations,2.5,Medium,Medium,Appears in 4-7 of last 10 years,45.5,Medium,53.88,Medium,https://youtube.com/watch?v=quadratic_solving,,Diagnostic,1,True,2025-08-11T08:37:09.879736
de860dc8-dd74-4d8f-9c7b-e35d18f69131,"The average of 5 numbers is 27. If one more number is added, the average becomes 25. What is the sixth number?",15,Standard approach,Detailed solution pending,Averages & Alligation,Averages & Alligation,1.88,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,35.75,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:36:59.677835
8749488d-c791-459d-be84-884399fd478c,A shopkeeper marks an article 30% above cost price and gives 20% discount. Find his profit percentage.,4%,Standard approach,Detailed solution pending,Profit–Loss–Discount (PLD),Profit–Loss–Discount (PLD),2.08,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,36.75,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:36:48.051099
5a586f2b-3f63-4d80-ae6d-853161a90471,"The ratio of ages of A and B is 3:4. If A is 15 years old, what is B's age?",20 years,Standard approach,Detailed solution pending,Ratio–Proportion–Variation,Ratio–Proportion–Variation,1.92,Easy,Low,Appears in 0-3 of last 10 years,51.75,Medium,37.56,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:36:38.941505
06028890-24c1-49b9-89de-0210920d33f7,Two trains approach each other at speeds of 60 km/h and 40 km/h. They are initially 200 km apart. After how much time will they meet?,2 hours,Standard approach,Detailed solution pending,Time–Speed–Distance (TSD),Time–Speed–Distance (TSD),1.95,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,38.0,Low,https://youtube.com/watch?v=tsd_basics,,Diagnostic,1,True,2025-08-11T08:36:29.489167
